Date,China tariff on US exports,US tariff on Chinese exports,US Global Balance,US Global Exports,US Global Imports,Exports to China,Imports from China,Trade Balance with China,US GDP,US Unemployment Rate,CPI
2018-01-01,8.0,3.1,-47247,207127,254374,9910.2,45749.9,-35839.7,20.1,0.040999999999999995,247.86700000000002
2018-02-01,8.0,3.2,-48714,209943,258657,9741.8,39003.6,-29261.9,20.18,0.040999999999999995,248.99099999999999
2018-03-01,8.0,3.8,-42893,213279,256173,12653.2,38295.1,-25641.9,20.21,0.04,249.554
2018-04-01,8.4,3.8,-44666,212096,256762,10510.5,38269.4,-27758.9,20.37,0.04,250.546
2018-05-01,8.3,3.8,-41160,215032,256192,10396.6,43938.7,-33542.0,20.59,0.038,251.588
2018-06-01,8.3,3.8,-44404,212549,256953,10858.3,44571.2,-33712.9,20.57,0.04,251.989
2018-07-01,10.1,6.7,-50572,210606,261179,10156.5,47087.6,-36931.1,20.72,0.038,252.00599999999997
2018-08-01,14.4,8.2,-50381,210833,261214,9280.9,47817.5,-38536.6,20.74,0.038,252.146
2018-09-01,18.3,12.0,-51453,213188,264641,9732.4,49988.1,-40255.7,20.79,0.037000000000000005,252.43900000000002
2018-10-01,18.3,12.0,-52398,214322,266719,9187.5,52170.1,-42982.6,20.94,0.038,252.885
2018-11-01,18.2,12.0,-49634,211465,261099,8650.9,46445.7,-37794.8,20.87,0.037000000000000005,252.03799999999998
2018-12-01,18.2,12.0,-56413,208944,265357,9210.5,45906.3,-36695.9,20.89,0.039,251.71200000000002
2019-01-01,16.5,12.0,-49023,210243,259267,7105.1,41514.4,-34409.3,21.14,0.04,252.77599999999998
2019-02-01,16.5,12.0,-47300,210809,258109,8083.3,33154.9,-25071.6,21.06,0.038,254.202
2019-03-01,16.5,12.0,-48914,213157,262072,10574.9,31175.6,-20600.6,21.09,0.038,255.548
2019-04-01,16.5,12.0,-49203,209288,258491,7883.0,34682.7,-26799.6,21.27,0.036000000000000004,256.092
2019-05-01,20.7,17.6,-51258,212852,264110,9069.4,39173.4,-30103.9,21.36,0.036000000000000004,256.143
2019-06-01,20.7,17.6,-51749,209254,261003,9166.7,38967.6,-29800.9,21.39,0.037000000000000005,256.57099999999997
2019-07-01,20.7,17.6,-51041,210462,261503,8694.3,41449.2,-32754.9,21.52,0.037000000000000005,256.558
2019-08-01,20.7,17.6,-50778,210517,261295,9415.6,41151.1,-31735.5,21.52,0.037000000000000005,256.759
2019-09-01,21.8,21.03562,-47839,209210,257049,8597.3,40165.5,-31568.2,21.59,0.035,257.346
2019-10-01,21.1,21.03562,-43029,210403,253432,8851.2,40114.9,-31263.7,21.67,0.036000000000000004,257.20799999999997
2019-11-01,21.1,21.03562,-41054,210571,251625,10103.3,36436.6,-26333.3,21.71,0.035,257.971
2019-12-01,20.912747493846872,21.03562,-45676,211496,257171,8903.0,33665.5,-24762.6,21.81,0.035,258.678
2020-01-01,20.912747493846872,21.03562,-42042,210446,252488,7215.3,33280.6,-26065.3,21.83,0.036000000000000004,258.115
2020-02-01,20.912747493846872,21.02625,-34672,211752,246425,6815.0,22813.1,-15998.1,21.98,0.035,256.389
